"st_fips","state","variable","estimate","moe","year","sex","marital_status","age"
"01","Alabama","B12002_106",11460,1791,2011,"F","Never Married","55-59"
"01","Alabama","B12002_107",8171,1239,2011,"F","Never Married","60-64"
"01","Alabama","B12002_108",6568,1025,2011,"F","Never Married","65-74"
"01","Alabama","B12002_109",4787,923,2011,"F","Never Married","75-84"
"01","Alabama","B12002_110",2237,607,2011,"F","Never Married","85+"
"01","Alabama","B12002_113",80,109,2011,"F","Married","15-17"
"01","Alabama","B12002_114",653,295,2011,"F","Married","18-19"
"01","Alabama","B12002_115",26207,2722,2011,"F","Married","20-24"
"01","Alabama","B12002_116",62805,3975,2011,"F","Married","25-29"
"01","Alabama","B12002_117",79356,4039,2011,"F","Married","30-34"
"01","Alabama","B12002_118",90390,3929,2011,"F","Married","35-39"
"01","Alabama","B12002_119",91018,4396,2011,"F","Married","40-44"
"01","Alabama","B12002_120",100063,3956,2011,"F","Married","45-49"
"01","Alabama","B12002_121",101651,3102,2011,"F","Married","50-54"
"01","Alabama","B12002_122",95934,4011,2011,"F","Married","55-59"
"01","Alabama","B12002_123",97442,4186,2011,"F","Married","60-64"
"01","Alabama","B12002_124",111352,3399,2011,"F","Married","65-74"
"01","Alabama","B12002_125",40881,2210,2011,"F","Married","75-84"
"01","Alabama","B12002_126",3446,837,2011,"F","Married","85+"
"01","Alabama","B12002_129",35,64,2011,"F","Separated","15-17"
"01","Alabama","B12002_130",429,360,2011,"F","Separated","18-19"
"01","Alabama","B12002_131",2790,929,2011,"F","Separated","20-24"
"01","Alabama","B12002_132",4656,1025,2011,"F","Separated","25-29"
"01","Alabama","B12002_133",10595,1792,2011,"F","Separated","30-34"
"01","Alabama","B12002_134",8147,1407,2011,"F","Separated","35-39"
"01","Alabama","B12002_135",8872,1614,2011,"F","Separated","40-44"
"01","Alabama","B12002_136",7020,1110,2011,"F","Separated","45-49"
"01","Alabama","B12002_137",7775,1487,2011,"F","Separated","50-54"
"01","Alabama","B12002_138",4556,1194,2011,"F","Separated","55-59"
"01","Alabama","B12002_139",3863,1138,2011,"F","Separated","60-64"
"01","Alabama","B12002_140",3583,1107,2011,"F","Separated","65-74"
"01","Alabama","B12002_141",765,394,2011,"F","Separated","75-84"
"01","Alabama","B12002_142",61,83,2011,"F","Separated","85+"
"01","Alabama","B12002_159",0,190,2011,"F","Widowed","15-17"
"01","Alabama","B12002_160",0,190,2011,"F","Widowed","18-19"
"01","Alabama","B12002_161",75,80,2011,"F","Widowed","20-24"
"01","Alabama","B12002_162",252,197,2011,"F","Widowed","25-29"
"01","Alabama","B12002_163",1585,747,2011,"F","Widowed","30-34"
"01","Alabama","B12002_164",2155,947,2011,"F","Widowed","35-39"
"01","Alabama","B12002_165",3211,1241,2011,"F","Widowed","40-44"
"01","Alabama","B12002_166",7536,1683,2011,"F","Widowed","45-49"
"01","Alabama","B12002_167",9956,1934,2011,"F","Widowed","50-54"
"01","Alabama","B12002_168",11241,1729,2011,"F","Widowed","55-59"
"01","Alabama","B12002_169",18552,2002,2011,"F","Widowed","60-64"
"01","Alabama","B12002_170",53255,3238,2011,"F","Widowed","65-74"
"01","Alabama","B12002_171",66906,3383,2011,"F","Widowed","75-84"
"01","Alabama","B12002_172",45204,2667,2011,"F","Widowed","85+"
"01","Alabama","B12002_174",79,90,2011,"F","Divorced","15-17"
"01","Alabama","B12002_175",292,219,2011,"F","Divorced","18-19"
"01","Alabama","B12002_176",4573,1006,2011,"F","Divorced","20-24"
"01","Alabama","B12002_177",12517,2060,2011,"F","Divorced","25-29"
"01","Alabama","B12002_178",18356,2412,2011,"F","Divorced","30-34"
"01","Alabama","B12002_179",22209,2858,2011,"F","Divorced","35-39"
"01","Alabama","B12002_180",31116,3494,2011,"F","Divorced","40-44"
"01","Alabama","B12002_181",34950,3284,2011,"F","Divorced","45-49"
"01","Alabama","B12002_182",37750,2352,2011,"F","Divorced","50-54"
"01","Alabama","B12002_183",33729,3164,2011,"F","Divorced","55-59"
"01","Alabama","B12002_184",28586,2836,2011,"F","Divorced","60-64"
"01","Alabama","B12002_185",29909,2271,2011,"F","Divorced","65-74"
"01","Alabama","B12002_186",12810,1554,2011,"F","Divorced","75-84"
"01","Alabama","B12002_187",2746,707,2011,"F","Divorced","85+"
"01","Alabama","B12002_004",93296,2127,2013,"M","Never Married","15-17"
"01","Alabama","B12002_005",70836,3426,2013,"M","Never Married","18-19"
"01","Alabama","B12002_006",160737,4456,2013,"M","Never Married","20-24"
"01","Alabama","B12002_007",90059,4292,2013,"M","Never Married","25-29"
"01","Alabama","B12002_008",58694,3818,2013,"M","Never Married","30-34"
"01","Alabama","B12002_009",36899,3090,2013,"M","Never Married","35-39"
"01","Alabama","B12002_010",26720,2854,2013,"M","Never Married","40-44"
"01","Alabama","B12002_011",23572,2453,2013,"M","Never Married","45-49"
"01","Alabama","B12002_012",21690,2239,2013,"M","Never Married","50-54"
"01","Alabama","B12002_013",18291,2380,2013,"M","Never Married","55-59"
"01","Alabama","B12002_014",11623,2157,2013,"M","Never Married","60-64"
"01","Alabama","B12002_015",8886,1512,2013,"M","Never Married","65-74"
"01","Alabama","B12002_016",1803,586,2013,"M","Never Married","75-84"
"01","Alabama","B12002_017",1031,704,2013,"M","Never Married","85+"
"01","Alabama","B12002_020",0,192,2013,"M","Married","15-17"
"01","Alabama","B12002_021",229,270,2013,"M","Married","18-19"
"01","Alabama","B12002_022",13300,1971,2013,"M","Married","20-24"
"01","Alabama","B12002_023",44694,3179,2013,"M","Married","25-29"
"01","Alabama","B12002_024",69663,3372,2013,"M","Married","30-34"
"01","Alabama","B12002_025",73859,4252,2013,"M","Married","35-39"
"01","Alabama","B12002_026",85506,3919,2013,"M","Married","40-44"
"01","Alabama","B12002_027",92374,3636,2013,"M","Married","45-49"
"01","Alabama","B12002_028",100872,3257,2013,"M","Married","50-54"
"01","Alabama","B12002_029",94453,3797,2013,"M","Married","55-59"
"01","Alabama","B12002_030",94190,4376,2013,"M","Married","60-64"
"01","Alabama","B12002_031",137278,3577,2013,"M","Married","65-74"
"01","Alabama","B12002_032",62446,2757,2013,"M","Married","75-84"
"01","Alabama","B12002_033",12110,1353,2013,"M","Married","85+"
"01","Alabama","B12002_036",13,22,2013,"M","Separated","15-17"
"01","Alabama","B12002_037",16,28,2013,"M","Separated","18-19"
"01","Alabama","B12002_038",1776,716,2013,"M","Separated","20-24"
"01","Alabama","B12002_039",3061,1073,2013,"M","Separated","25-29"
"01","Alabama","B12002_040",4158,1326,2013,"M","Separated","30-34"
"01","Alabama","B12002_041",4388,1674,2013,"M","Separated","35-39"
"01","Alabama","B12002_042",4900,1051,2013,"M","Separated","40-44"
"01","Alabama","B12002_043",5646,1421,2013,"M","Separated","45-49"
"01","Alabama","B12002_044",4235,1308,2013,"M","Separated","50-54"
"01","Alabama","B12002_045",4678,1065,2013,"M","Separated","55-59"
"01","Alabama","B12002_046",3282,772,2013,"M","Separated","60-64"
"01","Alabama","B12002_047",2868,771,2013,"M","Separated","65-74"
"01","Alabama","B12002_048",1559,547,2013,"M","Separated","75-84"
"01","Alabama","B12002_049",113,98,2013,"M","Separated","85+"
"01","Alabama","B12002_066",45,84,2013,"M","Widowed","15-17"
"01","Alabama","B12002_067",0,192,2013,"M","Widowed","18-19"
"01","Alabama","B12002_068",56,84,2013,"M","Widowed","20-24"
"01","Alabama","B12002_069",269,246,2013,"M","Widowed","25-29"
"01","Alabama","B12002_070",421,277,2013,"M","Widowed","30-34"
"01","Alabama","B12002_071",750,450,2013,"M","Widowed","35-39"
"01","Alabama","B12002_072",2137,1315,2013,"M","Widowed","40-44"
"01","Alabama","B12002_073",2495,750,2013,"M","Widowed","45-49"
"01","Alabama","B12002_074",2728,917,2013,"M","Widowed","50-54"
"01","Alabama","B12002_075",3442,893,2013,"M","Widowed","55-59"
"01","Alabama","B12002_076",4974,974,2013,"M","Widowed","60-64"
"01","Alabama","B12002_077",16708,2216,2013,"M","Widowed","65-74"
"01","Alabama","B12002_078",15097,1655,2013,"M","Widowed","75-84"
"01","Alabama","B12002_079",10452,1517,2013,"M","Widowed","85+"
"01","Alabama","B12002_081",19,25,2013,"M","Divorced","15-17"
"01","Alabama","B12002_082",0,192,2013,"M","Divorced","18-19"
