"st_fips","state","estimate","moe","year","child_age","child_parent"
1,"Alabama",11879,1874,2021,"05","Single Parent (Mom)"
1,"Alabama",83506,5624,2021,"06-11","Single Parent (Mom)"
1,"Alabama",102735,6758,2021,"12-17","Single Parent (Mom)"
1,"Alabama",94994,4634,2023,"00-02","Married Couple"
1,"Alabama",68898,4094,2023,"03-04","Married Couple"
1,"Alabama",32602,3141,2023,"05","Married Couple"
1,"Alabama",207943,7773,2023,"06-11","Married Couple"
1,"Alabama",225469,9410,2023,"12-17","Married Couple"
1,"Alabama",6509,1741,2023,"00-02","Single Parent (Dad)"
1,"Alabama",7051,1725,2023,"03-04","Single Parent (Dad)"
1,"Alabama",3691,1235,2023,"05","Single Parent (Dad)"
1,"Alabama",17613,3163,2023,"06-11","Single Parent (Dad)"
1,"Alabama",22167,2882,2023,"12-17","Single Parent (Dad)"
1,"Alabama",34613,4016,2023,"00-02","Single Parent (Mom)"
1,"Alabama",31662,4244,2023,"03-04","Single Parent (Mom)"
1,"Alabama",16849,2635,2023,"05","Single Parent (Mom)"
1,"Alabama",89476,7253,2023,"06-11","Single Parent (Mom)"
1,"Alabama",95460,5773,2023,"12-17","Single Parent (Mom)"
2,"Alaska",20847,1978,2011,"00-02","Married Couple"
2,"Alaska",11922,1316,2011,"03-04","Married Couple"
2,"Alaska",6347,1157,2011,"05","Married Couple"
2,"Alaska",39618,2819,2011,"06-11","Married Couple"
2,"Alaska",37119,2432,2011,"12-17","Married Couple"
2,"Alaska",3191,872,2011,"00-02","Single Parent (Dad)"
2,"Alaska",2285,697,2011,"03-04","Single Parent (Dad)"
2,"Alaska",1029,436,2011,"05","Single Parent (Dad)"
2,"Alaska",5119,1036,2011,"06-11","Single Parent (Dad)"
2,"Alaska",6694,1416,2011,"12-17","Single Parent (Dad)"
2,"Alaska",5179,1046,2011,"00-02","Single Parent (Mom)"
2,"Alaska",4127,1216,2011,"03-04","Single Parent (Mom)"
2,"Alaska",1657,668,2011,"05","Single Parent (Mom)"
2,"Alaska",11477,1811,2011,"06-11","Single Parent (Mom)"
2,"Alaska",13724,2157,2011,"12-17","Single Parent (Mom)"
2,"Alaska",20593,1737,2013,"00-02","Married Couple"
2,"Alaska",13720,1470,2013,"03-04","Married Couple"
2,"Alaska",6039,1049,2013,"05","Married Couple"
2,"Alaska",40861,2844,2013,"06-11","Married Couple"
2,"Alaska",40805,2634,2013,"12-17","Married Couple"
2,"Alaska",2926,970,2013,"00-02","Single Parent (Dad)"
2,"Alaska",2377,961,2013,"03-04","Single Parent (Dad)"
2,"Alaska",1687,705,2013,"05","Single Parent (Dad)"
2,"Alaska",3613,975,2013,"06-11","Single Parent (Dad)"
2,"Alaska",4199,1033,2013,"12-17","Single Parent (Dad)"
2,"Alaska",3862,896,2013,"00-02","Single Parent (Mom)"
2,"Alaska",2620,754,2013,"03-04","Single Parent (Mom)"
2,"Alaska",1662,649,2013,"05","Single Parent (Mom)"
2,"Alaska",9085,1713,2013,"06-11","Single Parent (Mom)"
2,"Alaska",10168,1384,2013,"12-17","Single Parent (Mom)"
2,"Alaska",20014,1717,2015,"00-02","Married Couple"
2,"Alaska",13551,1219,2015,"03-04","Married Couple"
2,"Alaska",7345,1320,2015,"05","Married Couple"
2,"Alaska",36466,2383,2015,"06-11","Married Couple"
2,"Alaska",35811,2303,2015,"12-17","Married Couple"
2,"Alaska",2183,554,2015,"00-02","Single Parent (Dad)"
